iter	RMSE
0	18.24597952
1	17.62359555
2	17.03782448
3	16.48758736
4	15.97271272
5	15.48428482
6	15.02945277
7	14.60072696
8	14.20600432
9	13.83147859
10	13.47659195
11	13.14876777
12	12.83849661
13	12.54872626
14	12.28164399
15	12.0300307
16	11.79613397
17	11.57892687
18	11.38243291
19	11.19315908
20	11.01957143
21	10.85636919
22	10.7055685
23	10.56995298
24	10.43884545
25	10.31960902
26	10.20883243
27	10.10632548
28	10.01300965
29	9.925589313
30	9.843745829
31	9.768988077
32	9.701459175
33	9.637899238
34	9.579288817
35	9.525386676
36	9.476217883
37	9.429511469
38	9.386966016
39	9.346727942
40	9.310760096
41	9.277011135
42	9.247386388
43	9.218802139
44	9.192660183
45	9.168549754
46	9.146410244
47	9.125949461
48	9.107164256
49	9.089605047
50	9.073824852
51	9.05873923
52	9.044729626
53	9.031655295
54	9.020263982
55	9.009381133
56	8.999062043
57	8.990349564
58	8.98180358
59	8.97373379
60	8.966532003
61	8.959264843
62	8.952761358
63	8.946775035
64	8.941297774
65	8.936049043
66	8.931223683
67	8.926914152
68	8.922985896
69	8.9189535
70	8.915356324
71	8.911877845
72	8.908744746
73	8.905714923
74	8.902975958
75	8.900503885
76	8.89786716
77	8.895680587
78	8.893728088
79	8.891755972
80	8.889905482
81	8.888039407
82	8.886313285
83	8.884726683
84	8.883390378
85	8.881980553
86	8.880613509
87	8.879320424
88	8.878106374
89	8.876972379
90	8.876018355
91	8.875054466
92	8.874134013
93	8.873172524
94	8.872399547
95	8.871653089
96	8.870853409
97	8.870111474
98	8.869317992
99	8.868602591
100	8.867999699
101	8.867211073
102	8.866629327
103	8.865981247
104	8.86544072
105	8.864933408
106	8.864270614
107	8.863727433
108	8.863322899
109	8.862905364
110	8.862394421
111	8.861853359
112	8.861377982
113	8.861022055
114	8.860567514
115	8.860150405
116	8.859683229
117	8.859099726
118	8.858731046
119	8.858437131
120	8.858104701
121	8.857669021
122	8.857243832
123	8.856887389
124	8.856625036
125	8.856251326
126	8.855833183
127	8.85544429
128	8.855183495
129	8.854904827
130	8.854570316
131	8.854267879
132	8.854048092
133	8.853696394
134	8.853456182
135	8.853194569
136	8.852862476
137	8.852618876
138	8.852290775
139	8.852012824
140	8.851782891
141	8.851535451
142	8.851266096
143	8.851028145
144	8.85075282
145	8.850522144
146	8.850139807
147	8.849938247
148	8.849667532
149	8.84952364
150	8.849081409
151	8.848892965
152	8.848672034
153	8.848401906
154	8.848122451
155	8.847863441
156	8.847470259
157	8.847260257
158	8.846822645
159	8.846658916
160	8.84642323
161	8.846141934
162	8.845870904
163	8.845650965
164	8.845337945
165	8.845144189
166	8.84491389
167	8.844714112
168	8.84445844
169	8.844202319
170	8.84389355
171	8.843565192
172	8.84324792
173	8.843037321
174	8.842777731
175	8.842516741
176	8.842231498
177	8.842009218
178	8.841824264
179	8.841648558
180	8.841435843
181	8.841187811
182	8.840970057
183	8.840709004
184	8.840457681
185	8.840265266
186	8.840032956
187	8.839896386
188	8.839660859
189	8.83937972
190	8.839116327
191	8.83884415
192	8.838678036
193	8.838471009
194	8.838301726
195	8.838059347
196	8.837876778
197	8.837672831
198	8.8374238
199	8.837177562
200	8.837009144
201	8.836816953
202	8.836578518
203	8.836366977
204	8.836109775
205	8.835914532
206	8.835788763
207	8.835536083
208	8.835384253
209	8.835184528
210	8.834937436
211	8.834728118
212	8.83453293
213	8.834378678
214	8.834136075
215	8.833941949
216	8.833666219
217	8.833479165
218	8.833319821
219	8.833098151
220	8.832903954
221	8.832649261
222	8.832422014
223	8.832184533
224	8.832041008
225	8.831826994
226	8.831661819
227	8.831446703
228	8.831230794
229	8.83101494
230	8.830826759
231	8.830679777
232	8.830483856
233	8.830334833
234	8.830054719
235	8.829849636
236	8.829662943
237	8.829480736
238	8.82927993
239	8.829014972
240	8.82876186
241	8.828623083
242	8.828423855
243	8.828190363
244	8.827934724
245	8.827702885
246	8.827518197
247	8.827284804
248	8.827149805
249	8.826931343
250	8.826786254
251	8.826536377
252	8.826315462
253	8.826176629
254	8.825966046
255	8.825793531
256	8.825548545
257	8.825401565
258	8.825192129
259	8.824994636
260	8.824813814
261	8.824560359
262	8.824340876
263	8.824111
264	8.823940253
265	8.823789646
266	8.823545548
267	8.823314234
268	8.823194485
269	8.822974923
270	8.822776992
271	8.822618838
272	8.822374646
273	8.822161125
274	8.821994745
275	8.821774586
276	8.821598913
277	8.821423954
278	8.821312027
279	8.82108751
280	8.820911664
281	8.820704963
282	8.820489306
283	8.820316745
284	8.820136138
285	8.819945184
286	8.819796307
287	8.819622428
288	8.819463784
289	8.819289485
290	8.819021864
291	8.818833101
292	8.818705117
293	8.818444976
294	8.818262295
295	8.817994136
296	8.817777735
297	8.817595785
298	8.817411909
299	8.817200413
300	8.81704797
301	8.816888493
302	8.816702781
303	8.816534869
304	8.816385392
305	8.816179881
306	8.816029877
307	8.815843921
308	8.815665407
309	8.815525002
310	8.81531851
311	8.815179067
312	8.815023551
313	8.814813791
314	8.814681746
315	8.814523625
316	8.814291947
317	8.81408498
318	8.813875995
319	8.8136761
320	8.813538779
321	8.813361341
322	8.813215261
323	8.813041385
324	8.812834161
325	8.812652516
326	8.81250003
327	8.812335277
328	8.812137099
329	8.811980041
330	8.811711911
331	8.811563159
332	8.811395873
333	8.811248125
334	8.811053297
335	8.81088888
336	8.810738337
337	8.810515851
338	8.810376671
339	8.810216675
340	8.810098832
341	8.809886503
342	8.809711605
343	8.809583493
344	8.809447974
345	8.80929541
346	8.809152956
347	8.808993316
348	8.808839477
349	8.808625375
350	8.808384476
351	8.808206814
352	8.808014986
353	8.807894874
354	8.807722953
355	8.807622012
356	8.807443194
357	8.807323079
358	8.807215659
359	8.807050463
360	8.806894605
361	8.806776468
362	8.80661522
363	8.806475844
364	8.806282879
365	8.806159096
366	8.805984611
367	8.805843498
368	8.805704018
369	8.80557612
370	8.805470441
371	8.805312754
372	8.805140131
373	8.805007739
374	8.804862059
375	8.804745329
376	8.804575
377	8.804454256
378	8.804335132
379	8.804192005
380	8.804065062
381	8.803894685
382	8.803759539
383	8.803593303
384	8.803460024
385	8.80331772
386	8.803137798
387	8.8030069
388	8.80286929
389	8.80273135
390	8.802591528
391	8.802446069
392	8.802314525
393	8.802207478
394	8.802107866
395	8.801898829
396	8.801770966
397	8.801663737
398	8.801516277
399	8.801337141
400	8.801239086
401	8.801127795
402	8.800990486
403	8.800875383
404	8.800787755
405	8.800679957
406	8.800522021
407	8.800412773
408	8.800278789
409	8.800175004
410	8.800039799
411	8.799825636
412	8.799671913
413	8.799551012
414	8.799417665
415	8.799276331
416	8.799161343
417	8.798930105
418	8.79879782
419	8.79867316
420	8.798480538
421	8.798341117
422	8.798226539
423	8.79808552
424	8.797974079
425	8.797803795
426	8.797671013
427	8.797550833
428	8.797377285
429	8.797244378
430	8.797096573
431	8.796957084
432	8.79680334
433	8.796623113
434	8.796461207
435	8.796348681
436	8.79619712
437	8.796092788
438	8.795987584
439	8.795845661
440	8.795731746
441	8.795566044
442	8.795408119
443	8.795278935
444	8.795166242
445	8.795035475
446	8.794899602
447	8.794757205
448	8.79461943
449	8.794488782
450	8.79436708
451	8.794276209
452	8.794090839
453	8.793977075
454	8.793847259
455	8.793762167
456	8.793666879
457	8.793554993
458	8.793433264
459	8.793284537
460	8.793143513
461	8.793011036
462	8.79280259
463	8.792733211
464	8.792620416
465	8.792486943
466	8.792385751
467	8.792265976
468	8.792154578
469	8.79205112
470	8.791930709
471	8.791805609
472	8.791702643
473	8.791574633
474	8.79147678
475	8.791387895
476	8.791280383
477	8.791122063
478	8.7910199
479	8.790864623
480	8.790746979
481	8.7906068
482	8.790457892
483	8.790315462
484	8.790208144
485	8.790000495
486	8.789853908
487	8.789726581
488	8.789599921
489	8.789492425
490	8.789326328
491	8.789249069
492	8.789141576
493	8.789036819
494	8.78890156
495	8.788817576
496	8.788698692
497	8.78859885
498	8.788421593
499	8.788299332
500	8.788160333
501	8.788045551
502	8.787956524
503	8.787842533
504	8.787740497
505	8.787592868
506	8.787497171
507	8.787283697
508	8.787140727
509	8.786982881
510	8.786836891
511	8.78672204
512	8.786642445
513	8.786508955
514	8.786391571
515	8.786295218
516	8.786176591
517	8.786094171
518	8.785975306
519	8.785873027
520	8.78579117
521	8.785613428
522	8.785451015
523	8.785276729
524	8.785053347
525	8.78497775
526	8.784868954
527	8.784757692
528	8.784626052
529	8.784502651
530	8.784380905
531	8.784284765
532	8.78419593
533	8.784106745
534	8.784018349
535	8.783914671
536	8.783823107
537	8.783727551
538	8.783624271
539	8.783422924
540	8.78333773
541	8.783169563
542	8.783057945
543	8.782951186
544	8.782812146
545	8.782648112
546	8.782466554
547	8.782324367
548	8.782204586
549	8.782106204
550	8.782010262
551	8.781875495
552	8.781745308
553	8.781587867
554	8.781406973
555	8.781290422
556	8.781196928
557	8.781038964
558	8.780921889
559	8.780780859
560	8.780680152
561	8.78054306
562	8.780421731
563	8.780326535
564	8.78023076
565	8.780077923
566	8.779949598
567	8.779845886
568	8.779725596
569	8.779583951
570	8.779444895
571	8.779328425
572	8.779204543
573	8.77912429
574	8.779022148
575	8.778901142
576	8.77875296
577	8.778611737
578	8.778498537
579	8.778412299
580	8.778239129
581	8.778125461
582	8.778021325
583	8.777877487
584	8.77780733
585	8.777704507
586	8.777587459
587	8.777461937
588	8.777402271
589	8.777327087
590	8.777242825
