iter	Passed	Remaining
0	38	387921
1	96	484459
2	138	462498
3	174	437206
4	217	434462
5	258	430578
6	296	422751
7	325	406926
8	363	403697
9	400	399991
10	439	399470
11	477	397578
12	518	398094
13	552	393783
14	588	391888
15	624	389634
16	663	389828
17	698	387348
18	736	386805
19	780	389537
20	813	386491
21	846	383949
22	884	383673
23	916	380984
24	957	381950
25	995	381909
26	1041	384599
27	1092	389110
28	1155	397251
29	1207	401281
30	1256	403974
31	1302	405848
32	1338	404362
33	1374	402783
34	1419	404089
35	1459	403842
36	1495	402590
37	1537	403043
38	1573	401888
39	1613	401838
40	1646	400053
41	1687	400156
42	1728	400345
43	1764	399277
44	1802	398810
45	1845	399369
46	1885	399200
47	1925	399205
48	1969	399906
49	2007	399558
50	2042	398436
51	2081	398259
52	2115	397121
53	2150	396030
54	2185	395174
55	2218	393977
56	2256	393636
57	2288	392212
58	2327	392227
59	2362	391409
60	2400	391180
61	2433	389990
62	2472	389948
63	2508	389439
64	2540	388260
65	2580	388381
66	2621	388672
67	2665	389282
68	2695	387904
69	2730	387386
70	2767	387008
71	2810	387580
72	2844	386778
73	2879	386278
74	2912	385429
75	2946	384735
76	2983	384519
77	3015	383560
78	3050	383107
79	3086	382702
80	3115	381479
81	3163	382585
82	3197	382014
83	3227	380967
84	3265	380869
85	3302	380692
86	3340	380653
87	3376	380278
88	3418	380634
89	3453	380295
90	3483	379290
91	3522	379370
92	3556	378852
93	3592	378539
94	3626	378107
95	3660	377644
96	3710	378787
97	3741	378042
98	3786	378645
99	3821	378285
100	3855	377855
101	3891	377657
102	3926	377311
103	3967	377566
104	3996	376623
105	4031	376337
106	4070	376337
107	4105	376037
108	4138	375537
109	4184	376224
110	4216	375634
111	4250	375291
112	4283	374799
113	4325	375089
114	4364	375187
115	4401	375017
116	4438	374897
117	4482	375420
118	4518	375160
119	4556	375145
120	4590	374758
121	4625	374546
122	4659	374126
123	4687	373301
124	4718	372787
125	4754	372607
126	4783	371842
127	4814	371306
128	4852	371339
129	4886	370983
130	4923	370887
131	4958	370697
132	4996	370650
133	5031	370457
134	5067	370268
135	5109	370566
136	5141	370116
137	5175	369889
138	5218	370190
139	5264	370765
140	5299	370535
141	5332	370161
142	5359	369458
143	5399	369595
144	5439	369679
145	5478	369771
146	5510	369375
147	5550	369492
148	5581	369012
149	5614	368663
150	5648	368445
151	5683	368229
152	5720	368137
153	5753	367869
154	5791	367870
155	5824	367557
156	5859	367370
157	5898	367448
158	5936	367408
159	5967	366994
160	5997	366536
161	6037	366667
162	6068	366212
163	6101	365946
164	6132	365526
165	6168	365421
166	6203	365249
167	6237	365066
168	6260	364164
169	6295	364034
170	6323	363444
171	6355	363127
172	6387	362842
173	6423	362722
174	6462	362805
175	6492	362379
176	6518	361773
177	6551	361528
178	6577	360885
179	6621	361220
180	6655	361046
181	6690	360930
182	6724	360749
183	6761	360711
184	6790	360267
185	6824	360058
186	6861	360051
187	6898	360036
188	6926	359529
189	6964	359563
190	6997	359367
191	7029	359101
192	7061	358813
193	7102	359007
194	7134	358757
195	7163	358318
196	7195	358045
197	7227	357774
198	7255	357321
199	7285	356989
200	7319	356815
201	7354	356745
202	7392	356785
203	7429	356770
204	7465	356705
205	7501	356628
206	7532	356342
207	7565	356140
208	7605	356317
209	7644	356388
210	7674	356028
211	7709	355948
212	7741	355717
213	7768	355239
214	7804	355203
215	7836	354973
216	7870	354813
217	7902	354599
218	7940	354637
219	7971	354350
220	8001	354059
221	8034	353896
222	8067	353712
223	8100	353515
224	8131	353249
225	8163	353065
226	8203	353178
227	8238	353090
228	8271	352918
229	8302	352676
230	8336	352536
231	8366	352244
232	8398	352047
233	8427	351719
234	8465	351760
235	8497	351547
236	8528	351341
237	8559	351067
238	8597	351142
239	8634	351144
240	8670	351108
241	8707	351105
242	8734	350695
243	8771	350700
244	8807	350670
245	8837	350390
246	8867	350122
247	8900	350004
248	8930	349709
249	8961	349479
250	8997	349460
251	9026	349179
252	9058	348987
253	9085	348600
254	9120	348544
255	9156	348520
256	9189	348387
257	9214	347951
258	9253	348036
259	9292	348099
260	9325	347973
261	9360	347907
262	9392	347727
263	9421	347448
264	9451	347209
265	9480	346936
266	9515	346884
267	9549	346777
268	9581	346613
269	9614	346482
270	9651	346496
271	9688	346513
272	9726	346547
273	9763	346566
274	9812	347013
275	9849	347005
276	9880	346821
277	9918	346857
278	9947	346576
279	9980	346459
280	10010	346219
281	10051	346390
282	10087	346358
283	10123	346345
284	10159	346298
285	10197	346355
286	10235	346390
287	10276	346532
288	10315	346626
289	10353	346677
290	10390	346659
291	10428	346720
292	10460	346554
293	10489	346304
294	10523	346209
295	10562	346268
296	10602	346367
297	10636	346307
298	10675	346360
299	10716	346494
300	10753	346506
